Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Олег Кулініч,These ads ran without a disclaimer,≤100,1
Самые резонансные новости,These ads ran without a disclaimer,≤100,1
Григорий Гриншпун,These ads ran without a disclaimer,≤100,8
Максим Могильницкий,These ads ran without a disclaimer,≤100,9
Студия портретов Backstage Art,These ads ran without a disclaimer,≤100,5
Евгений Мураев,Евгений Мураев,≤100,1
Громадсько-політичний Рух "Справедливість",Виборчий фонд кандидата в президенти Валентина Наливайченка,≤100,11
«Аргументируй»,Дарина Сандлер,≤100,3
Миколаївщина,Кирило Ющишен,≤100,1
Бизнес Украина,These ads ran without a disclaimer,≤100,2
Супер обьем,These ads ran without a disclaimer,≤100,9
ЗЕ Команда - Ватутіне,These ads ran without a disclaimer,≤100,2
Руслан Чорнолуцький,These ads ran without a disclaimer,≤100,17
Новости Украины и Мира,These ads ran without a disclaimer,≤100,3
Wasabi Technologies Inc.,These ads ran without a disclaimer,≤100,2
Die Skrywer,These ads ran without a disclaimer,≤100,4
Олексій Романенко,ВО "Свобода" Київ,≤100,9
ЗЕ Команда - Чигирин,These ads ran without a disclaimer,≤100,1
Европейская консалтинговая группа,These ads ran without a disclaimer,≤100,1
Соціальна Справедливість м.Суми,Yevhen Kulik,≤100,9
Igor Sirotov Architects,These ads ran without a disclaimer,≤100,1
ЗЕ Команда - Жашків,These ads ran without a disclaimer,≤100,2
Вільні Люди,Іван Кішка,≤100,2
Сінево / Синэво / Synevo медична лабораторія,These ads ran without a disclaimer,≤100,1
Петропавлівська Борщагівка,These ads ran without a disclaimer,≤100,1
ПОЦ,Василь Волошин,≤100,2
Киев наизнанку,Storm Digital LLC,≤100,1
Вишенка на торте,Василь Волошин,≤100,3
Євген Головін - Ievgen Golovin,These ads ran without a disclaimer,≤100,2
Годный.COM,Сергій Годний - Sergey Hodniy,≤100,1
Депутат Антон Петрухін,Петрухiн Антон,≤100,4
Володимир Прокопів,These ads ran without a disclaimer,≤100,23
Украина в шоке,These ads ran without a disclaimer,≤100,4
Команда Зеленського в Києво-Святошинському районі,These ads ran without a disclaimer,≤100,1
GO Classic Concert,These ads ran without a disclaimer,≤100,3
Об'єднання "Самопоміч" - Тернопільщина,Віталій Фидрин,≤100,6
Дніпроград,Максим Мирошниченко,≤100,1
Михайло Поперечнюк,Михайло Поперечнюк,≤100,12
Олександр Ващенко,These ads ran without a disclaimer,≤100,3
Valeriy Pysarenko - Валерий Писаренко - Валерій Писаренко,Валерий Владимирович Писаренко,≤100,11
Твій Дім. Практика.,Анатолій Гуцул,≤100,11
Автомобілісти за 10% розмитнення,These ads ran without a disclaimer,≤100,3
Korolev.Official,These ads ran without a disclaimer,≤100,11
Alexandr,Oleksandr Yurchenko,≤100,1
Допомога,These ads ran without a disclaimer,≤100,7
Агентство моделирования ситуаций,These ads ran without a disclaimer,≤100,5
Віктор Євпак,These ads ran without a disclaimer,≤100,4
Новини Володимира Великого і Наукової,These ads ran without a disclaimer,≤100,1
ШоТоБуло,These ads ran without a disclaimer,≤100,3
Begemot,These ads ran without a disclaimer,≤100,68
Антикорупційний блок учасників АТО,Антон Сосницький,≤100,4
Зе сообщество  Слуга Народа  45+,These ads ran without a disclaimer,≤100,6
Мальчишник в Вегасе,These ads ran without a disclaimer,≤100,1
Владимир Величко,These ads ran without a disclaimer,≤100,5
Misha.oiler,These ads ran without a disclaimer,≤100,2
TruWood,These ads ran without a disclaimer,≤100,47
Команда Зеленського у Василькові,Зе!команда,≤100,4
Politeka.ua,These ads ran without a disclaimer,≤100,3
Всеукраїнський громадський рух "Сила права",These ads ran without a disclaimer,≤100,1
IPnews - Новости,These ads ran without a disclaimer,≤100,12
Микола Кучер/Mykola Kucher,Маргарита Борисенко,≤100,1
Uaprom,These ads ran without a disclaimer,≤100,10
5 минут,These ads ran without a disclaimer,≤100,3
Conversionrate.store,These ads ran without a disclaimer,≤100,5
Українська Галицька Партія. Львівщина,Українська Галицька Партія,≤100,7
