Page Name,Disclaimer,Amount Spent,Number of Ads in Library
FinStamp,These ads ran without a disclaimer,≤100,5
ЗЕ Команда - Умань,These ads ran without a disclaimer,≤100,2
Об'єднання "Самопоміч" - Івано-Франківщина,Івано-Франківська обласна організація політичної партії "Об'єднання "Самопоміч",≤100,7
"ВО ""Свобода"", Чернівці",These ads ran without a disclaimer,≤100,11
1NEWS - цікаві Факти та важливі Новини,These ads ran without a disclaimer,≤100,10
УКРОП Запоріжжя,These ads ran without a disclaimer,≤100,6
Вголос,These ads ran without a disclaimer,≤100,5
Светлана Вольнова,These ads ran without a disclaimer,≤100,7
Юрій Кармазін,These ads ran without a disclaimer,≤100,5
Килийский Вестник,These ads ran without a disclaimer,≤100,3
Вибори-2019,Ігор Денисов,≤100,5
Україна для народу,These ads ran without a disclaimer,≤100,5
Благодійний фонд Сергія Пашинського,These ads ran without a disclaimer,≤100,5
Андрей Пальчевский,These ads ran without a disclaimer,≤100,4
Команда Зеленського у Чернівцях,These ads ran without a disclaimer,≤100,5
Blind Trust / Слепой Траст,These ads ran without a disclaimer,≤100,4
ЗЕ Команда - Черкаська область,These ads ran without a disclaimer,≤100,2
REAL ТОЛК,Олександр Волошин,≤100,5
Emotional Security Agency,Dmytro Turlo,≤100,1
Winter Resort,These ads ran without a disclaimer,≤100,1
Apple Pay,These ads ran without a disclaimer,≤100,22
А що там у ПП,These ads ran without a disclaimer,≤100,4
Команда Зеленського у Кропивницькому,These ads ran without a disclaimer,≤100,7
Оппозиционный блок. Полтавская область,These ads ran without a disclaimer,≤100,1
ВО "Свобода" Хмельницький,These ads ran without a disclaimer,≤100,3
Харьковщина за Бойко,These ads ran without a disclaimer,≤100,16
НеДобрый Вечер,These ads ran without a disclaimer,≤100,6
Аграрна партія України,These ads ran without a disclaimer,≤100,4
НАШЕ МІСТО. Білгород-Дністровський,These ads ran without a disclaimer,≤100,4
На приеме,Василь Волошин,≤100,2
ЗЕ Команда - Монастирище,These ads ran without a disclaimer,≤100,2
"Alexandr Chovhan: издатель RIA, интернет-бизнесмен",These ads ran without a disclaimer,≤100,2
PR-агентство Karyzhsky.com,These ads ran without a disclaimer,≤100,2
M.News - объективные новости,These ads ran without a disclaimer,≤100,14
Типові Черкаси,Сергiй Костенко,≤100,8
Дмитрий Чекалкин,These ads ran without a disclaimer,≤100,3
Інформант,These ads ran without a disclaimer,≤100,1
Ukraine online,These ads ran without a disclaimer,≤100,1
Аферисты Одессы,These ads ran without a disclaimer,≤100,1
Команда Зеленського у Києві,Команда Зеленського у Києві,≤100,1
Подслушано Одесса,These ads ran without a disclaimer,≤100,7
Рай 2070,These ads ran without a disclaimer,≤100,1
Українська Галицька Партія. Івано-Франківськ,These ads ran without a disclaimer,≤100,4
Наталия Королевская,These ads ran without a disclaimer,≤100,11
Лучший Кандидат,These ads ran without a disclaimer,≤100,17
УКРОП Запоріжжя,УКРОП Українське об'єднання патріотів,≤100,9
Vanilla,These ads ran without a disclaimer,≤100,1
Руслан Краснов,These ads ran without a disclaimer,≤100,2
Новости Украины,These ads ran without a disclaimer,≤100,1
UkrTimes.com.ua,These ads ran without a disclaimer,≤100,8
ДемАльянс Тернопіль,ДемАльянс,≤100,3
Рух Нових Сил Михайла Саакашвілі,These ads ran without a disclaimer,≤100,2
Нацкорпус,These ads ran without a disclaimer,≤100,7
Олег Петровець,These ads ran without a disclaimer,≤100,1
Агентство расследований  Maрионетки,These ads ran without a disclaimer,≤100,2
ДемАльянс - Запоріжжя,ДемАльянс,≤100,3
Сегодня,These ads ran without a disclaimer,≤100,9
Вичерпно,Вичерпно,≤100,11
Bad Boy: свій магазин алкоголю,These ads ran without a disclaimer,≤100,1
Лаборатория Правды,Євген Долгокеров,≤100,4
Іван Мирка,These ads ran without a disclaimer,≤100,3
Свобода Біла Церква,These ads ran without a disclaimer,≤100,41
Вибір України - Тимошенко,These ads ran without a disclaimer,≤100,2
Ігор Васюник,Ihor Vasyunyk,≤100,1
Погляд Приірпіння - інформаційна агенція,These ads ran without a disclaimer,≤100,10
NGO Centre UA,These ads ran without a disclaimer,≤100,2
Об'єднання "Самопоміч" - Одеса,These ads ran without a disclaimer,≤100,2
Проти,These ads ran without a disclaimer,≤100,14
InterVizor.TV,Дмитрий Лубкин,≤100,3
Демальянс - Чернігів,ДемАльянс,≤100,3
Сергій Шаравара,These ads ran without a disclaimer,≤100,3
25%,These ads ran without a disclaimer,≤100,3
Національний Фронт Ukraine,Ігор Денисов,≤100,3
Сергій,These ads ran without a disclaimer,≤100,1
Максим Могильницкий,Максим Могильницкий,≤100,3
Роман Сеник,Роман Сеник,≤100,3
Новостной портал Чернигова,These ads ran without a disclaimer,≤100,6
Zabeba.li,Storm Digital LLC,≤100,6
Кривой Рог Новости. Кривий Ріг Новини,These ads ran without a disclaimer,≤100,1
Горсовет,These ads ran without a disclaimer,≤100,7
Олександр Савченко,These ads ran without a disclaimer,≤100,2
Proman Ukraine,These ads ran without a disclaimer,≤100,3
Сергій Каплін,Сергій Каплін,≤100,2
Геннадий Труханов,These ads ran without a disclaimer,≤100,4
The German Marshall Fund of the United States,The German Marshall Fund,≤100,1
Технопарк "Remzavod",These ads ran without a disclaimer,≤100,3
На Приколі,Oleksiy Serdyuk,≤100,10
Відкритий,These ads ran without a disclaimer,≤100,4
Українське Агентство Новин,Oleksandr Liebiediev,≤100,8
Yan Dobronosov,These ads ran without a disclaimer,≤100,3
